Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0. Open Login,3034,1070,39,9502,819.35,0.000%,5.04983,4.85,1.17,982.5
1. Login TCExam,3028,6992,209,12106,3577.08,0.000%,4.99765,8.26,3.51,1692.0
2. Soal Bergambar,2962,5413,260,12199,1964.59,0.000%,4.91262,61.94,1.23,12911.4
TOTAL,9024,4483,39,12199,3478.18,0.000%,14.88399,74.65,5.90,5136.1
