timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778857682536,2334,05 execTestLoop,200,OK,Thread Group 1-209,text,true,,12866,1614,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2189,0,0
1778857682519,2353,05 execTestLoop,200,OK,Thread Group 1-207,text,true,,12867,1549,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2248,0,0
1778857682852,2040,05 execTestLoop,200,OK,Thread Group 1-191,text,true,,12850,1523,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1807,0,0
1778857681907,3030,08 forceTerminateTest,200,OK,Thread Group 1-178,text,true,,11631,1487,52,52,http://192.168.27.1/tcexam/public/code/index.php,1083,0,0
1778857681907,1083,08 forceTerminateTest-0,302,Found,Thread Group 1-178,text,true,,724,1251,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1083,0,0
1778857682990,1947,08 forceTerminateTest-1,200,OK,Thread Group 1-178,text,true,,10907,236,52,52,http://192.168.27.1/tcexam/public/code/index.php,1848,0,0
1778857684468,546,00 getLoginPage,200,OK,Thread Group 1-225,text,true,,9201,449,52,52,http://192.168.27.1/tcexam/public/code/,5,0,1
1778857684468,5,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-225,text,true,,623,288,52,52,http://192.168.27.1/tcexam/public/code,5,0,1
1778857684473,541,00 getLoginPage-1,200,OK,Thread Group 1-225,text,true,,8578,161,52,52,http://192.168.27.1/tcexam/public/code/,540,0,0
1778857683133,1918,05 execTestLoop,200,OK,Thread Group 1-186,text,true,,12864,1536,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1798,0,0
1778857684311,869,03 showTestInfo,200,OK,Thread Group 1-219,text,true,,9585,417,52,52,http://192.168.27.1/tcexam/public/code/tce_test_start.php?testid=17,693,0,0
1778857683184,2048,05 execTestLoop,200,OK,Thread Group 1-187,text,true,,12859,1583,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1925,0,0
1778857683327,2066,05 execTestLoop,200,OK,Thread Group 1-202,text,true,,12862,1484,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1913,0,0
1778857683420,2053,01 doLogin,200,OK,Thread Group 1-223,text,true,,12045,1224,52,52,http://192.168.27.1/tcexam/public/code/index.php,742,0,0
1778857683420,742,01 doLogin-0,302,Found,Thread Group 1-223,text,true,,964,988,52,52,http://192.168.27.1/tcexam/public/code/index.php,742,0,0
1778857684162,1311,01 doLogin-1,200,OK,Thread Group 1-223,text,true,,11081,236,52,52,http://192.168.27.1/tcexam/public/code/index.php,1255,0,0
1778857683813,1678,02 getTestID,200,OK,Thread Group 1-221,text,true,,11081,394,52,52,http://192.168.27.1/tcexam/public/code/index.php,1487,0,0
1778857683696,1866,05 execTestLoop,200,OK,Thread Group 1-208,text,true,,12864,1523,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1698,0,0
1778857683866,1750,05 execTestLoop,200,OK,Thread Group 1-184,text,true,,12862,1557,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1571,0,1
1778857685134,494,10 doLogout,200,OK,Thread Group 1-175,text,true,,872,405,52,52,http://192.168.27.1/tcexam/public/code/tce_logout.php,494,0,0
1778857685214,486,00 getLoginPage,200,OK,Thread Group 1-226,text,true,,9201,451,52,52,http://192.168.27.1/tcexam/public/code/,5,0,1
1778857685214,5,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-226,text,true,,623,290,52,52,http://192.168.27.1/tcexam/public/code,5,0,1
1778857685219,481,00 getLoginPage-1,200,OK,Thread Group 1-226,text,true,,8578,161,52,52,http://192.168.27.1/tcexam/public/code/,481,0,0
1778857684056,1729,05 execTestLoop,200,OK,Thread Group 1-194,text,true,,12854,1510,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1594,0,0
1778857682835,3070,08 forceTerminateTest,200,OK,Thread Group 1-181,text,true,,11544,1537,53,53,http://192.168.27.1/tcexam/public/code/index.php,1430,0,0
1778857682835,1430,08 forceTerminateTest-0,302,Found,Thread Group 1-181,text,true,,724,1301,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1430,0,0
1778857684265,1640,08 forceTerminateTest-1,200,OK,Thread Group 1-181,text,true,,10820,236,53,53,http://192.168.27.1/tcexam/public/code/index.php,1581,0,0
1778857684147,1796,05 execTestLoop,200,OK,Thread Group 1-205,text,true,,12865,1614,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1660,0,0
1778857681557,4388,04 execTest,200,OK,Thread Group 1-215,text,true,,12885,413,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=15,4208,0,0
1778857684481,1570,05 execTestLoop,200,OK,Thread Group 1-204,text,true,,12863,1549,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1397,0,0
1778857684274,1767,05 execTestLoop,200,OK,Thread Group 1-211,text,true,,12869,1523,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1600,0,0
1778857684006,2061,05 execTestLoop,200,OK,Thread Group 1-189,text,true,,12851,1614,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1870,0,0
1778857685487,758,03 showTestInfo,200,OK,Thread Group 1-220,text,true,,9582,421,53,53,http://192.168.27.1/tcexam/public/code/tce_test_start.php?testid=15,662,0,0
1778857684792,1657,05 execTestLoop,200,OK,Thread Group 1-192,text,true,,12852,1575,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1498,0,0
1778857684696,1757,05 execTestLoop,200,OK,Thread Group 1-199,text,true,,12854,1575,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1592,0,0
1778857685976,536,10 doLogout,200,OK,Thread Group 1-174,text,true,,872,409,53,53,http://192.168.27.1/tcexam/public/code/tce_logout.php,536,0,0
