Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0. Open Login,3095,1019,36,9151,758.24,0.000%,5.15294,4.92,1.19,977.3
1. Login TCExam,3090,6795,182,11360,3453.55,0.000%,5.11545,8.45,3.60,1692.0
2. Soal Bergambar,3027,5356,229,12793,1970.86,0.000%,5.02265,63.21,1.26,12887.0
TOTAL,9212,4382,36,12793,3396.20,0.000%,15.24058,76.36,6.04,5130.5
