Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0. Open Login,10313,870,34,9040,554.82,0.000%,5.72540,4.46,1.34,797.2
1. Login TCExam,10304,6762,188,11727,3181.69,0.000%,5.71205,9.44,4.01,1692.0
2. Soal Bergambar,10255,4104,228,7793,1672.49,0.000%,5.68768,71.71,1.43,12910.3
TOTAL,30872,3911,34,11727,3197.91,0.000%,17.11219,85.55,6.78,5119.6
