timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778855452503,713,05 execTestLoop,200,OK,Thread Group 1-93,text,true,,12853,1575,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,547,0,0
1778855452679,550,07 terminateTest,200,OK,Thread Group 1-84,text,true,,6490,1706,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,550,0,0
1778855452923,361,00 getLoginPage,200,OK,Thread Group 1-117,text,true,,9201,447,39,39,http://192.168.27.1/tcexam/public/code/,4,0,1
1778855452923,4,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-117,text,true,,623,286,39,39,http://192.168.27.1/tcexam/public/code,4,0,1
1778855452928,356,00 getLoginPage-1,200,OK,Thread Group 1-117,text,true,,8578,161,39,39,http://192.168.27.1/tcexam/public/code/,356,0,0
1778855452805,550,02 getTestID,200,OK,Thread Group 1-113,text,true,,10905,386,40,40,http://192.168.27.1/tcexam/public/code/index.php,503,0,0
1778855452912,718,05 execTestLoop,200,OK,Thread Group 1-99,text,true,,12856,1536,40,40,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,639,0,0
1778855453470,246,10 doLogout,200,OK,Thread Group 1-79,text,true,,872,401,40,40,http://192.168.27.1/tcexam/public/code/tce_logout.php,246,0,0
1778855453441,298,11 getLoginPage,200,OK,Thread Group 1-80,text,true,,9163,571,40,40,http://192.168.27.1/tcexam/public/code/,3,0,0
1778855453441,3,11 getLoginPage-0,301,Moved Permanently,Thread Group 1-80,text,true,,585,369,40,40,http://192.168.27.1/tcexam/public/code,3,0,0
1778855453444,295,11 getLoginPage-1,200,OK,Thread Group 1-80,text,true,,8578,202,40,40,http://192.168.27.1/tcexam/public/code/,294,0,0
1778855453047,732,06 execTestLastQuestionConfirmation,200,OK,Thread Group 1-85,text,true,,12864,1610,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,619,0,0
1778855453158,707,05 execTestLoop,200,OK,Thread Group 1-109,text,true,,12868,1609,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,626,0,0
1778855453153,828,05 execTestLoop,200,OK,Thread Group 1-108,text,true,,12866,1505,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,753,0,0
1778855453309,706,02 getTestID,200,OK,Thread Group 1-114,text,true,,10993,404,39,39,http://192.168.27.1/tcexam/public/code/index.php,657,0,0
1778855453373,670,07 terminateTest,200,OK,Thread Group 1-87,text,true,,6492,1664,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,670,0,0
1778855453261,809,05 execTestLoop,200,OK,Thread Group 1-106,text,true,,12867,1484,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,669,0,0
1778855453304,789,05 execTestLoop,200,OK,Thread Group 1-102,text,true,,12861,1614,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,689,0,0
