Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0. Open Login,2000,18637,57,50209,11623.83,0.050%,4.62843,10.43,1.00,2308.4
1. Login TCExam,2000,24728,214,52351,9194.71,0.000%,4.54483,7.51,3.19,1692.2
2. Soal Bergambar,2000,20581,364,51023,11172.11,1.250%,4.53874,56.93,1.13,12843.1
TOTAL,6000,21315,57,52351,11012.59,0.433%,13.60285,74.58,5.30,5614.6
