Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0. Open Login,2000,19189,46,45716,11459.94,0.000%,4.65493,10.51,1.01,2312.6
1. Login TCExam,2000,24741,224,58510,9230.95,0.000%,4.55592,7.53,3.20,1692.0
2. Soal Bergambar,2000,20718,333,50098,11423.01,1.250%,4.54185,56.93,1.14,12835.5
TOTAL,6000,21549,46,58510,11007.26,0.417%,13.61239,74.62,5.31,5613.4
